id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
002542d3-9823-4524-9949-25e4026f212c,Tshirts.horse,available,43.98,,70,20,8,namecheap,,
0027d25a-becd-4aba-918a-bdd27885a33e,officeroutine.horse,available,43.98,,43,0,14,namecheap,,
002a0a9f-3936-4a5b-8e9d-60444f70f909,clipart.horse,available,43.98,,74,8,8,namecheap,,
003c25c5-61c4-4482-8f7e-554b702cc7c9,proxymurder.horse,available,43.98,,36,1,12,namecheap,,
003fc2b7-3d5a-4392-8d83-b600eb55c2ee,WonderWoman.horse,available,43.98,,92,10,12,namecheap,,
0049513d-2211-4a10-b84b-1e8eb99d8ba2,forests.horse,available,43.98,,60,11,7,namecheap,,
004a62df-98e7-40ee-88f6-3b2657e7a0e4,tospare.horse,available,43.98,,54,0,8,namecheap,,
0055b8e4-2196-40ea-8cfe-574989cfdf23,differences.horse,available,43.98,,52,4,11,namecheap,,
005a1bab-ae72-444f-80c4-3e03eaf4679e,hookups.horse,available,43.98,,74,9,8,namecheap,,
0062a108-1e3a-434d-abe3-cfc48c59d620,uptoanything.horse,available,43.98,,52,1,14,namecheap,,
006f6934-7913-46a9-8848-54a2014f7895,offenses.horse,available,32.49,32.49,40,2,8,namesilo,,
008006eb-acd3-4537-afdf-acca5609ad7e,justifies.horse,available,32.49,32.49,52,1,9,namesilo,,
0092d48a-528c-4345-9e72-bf6cde0644aa,closeones.horse,available,43.98,,52,1,10,namecheap,,
009b07cc-d912-4cb4-8b54-b43c5114d5e4,arrivingat.horse,available,43.98,,50,1,11,namecheap,,
00b33469-d226-45db-ad69-5fb9ec343297,superhero.horse,available,43.98,,84,23,9,namecheap,,
00c6e6ca-fc93-4dd4-9d59-242d21d11698,pertained.horse,available,43.98,,52,1,9,namecheap,,
0125ae0e-c6a8-4dd0-96a9-feffcf2f03a0,uploadability.horse,available,43.98,,60,1,13,namecheap,,
01391c1d-7e0c-44a9-b523-e539908ebf7c,coffeewoman.horse,available,43.98,,80,1,11,namecheap,,
01a9dfbc-8a97-4959-9ee2-0a563a53d82c,upandaround.horse,available,43.98,,60,1,13,namecheap,,
